duration_frames,onset_word,word_score_pc,session,duration_measured_word,ID,word,onset_img,condition,word_score_warriner,img,pause_trigger_t,correct_resp,offset_img,response,delay_frames_before,rt,no,pause_trigger,img_trigger,word_trigger,word_label,scan day,gender,key_t,age,delay_frames_after,offset_word,duration_measured_img
42,1.014832804999969,-1.1380831950062478,6,0.7181322329997784,KKF,pumpkin,4.838756801998898,faceWord_exp,7.0,image_stim_p.png,2.7334213479989558,1,5.549087424999016,b,180,0.4461212610003713,1,31,21,11,pos,Monday,female,5.284878062999269,21,336,1.7329650379997474,0.7103306230001181
42,11.206490200998815,2.52891321026023,6,0.6928758009999001,KKF,folly,17.536276191998695,faceWord_exp,4.11,image_stim_n.png,12.900231830999473,1,18.232634310999856,y,336,0.7153640920005273,2,32,22,12,neg,Monday,female,18.251640283999222,21,180,11.899366001998715,0.696358119001161
42,21.2386571549996,-1.2017878999114775,6,0.6938041079993127,KKF,sun,27.566921596999236,faceWord_exp,6.92,image_stim_p.png,22.932760331999816,1,28.266158217998964,b,336,0.3187992839993967,3,31,21,11,pos,Monday,female,27.885720880998633,21,180,21.932461262998913,0.6992366209997272
42,31.271782692998386,3.587794463102913,6,0.6939858720015764,KKF,prison,34.99534493199826,faceWord_exp,1.94,image_stim_n.png,32.96657151099862,1,35.69867444599913,y,180,0.5914112710015615,4,32,22,12,neg,Monday,female,35.58675620299982,21,336,31.965768564999962,0.7033295140008704
42,41.30712443499942,-0.1293625696653618,6,0.6928691350003646,KKF,escalator,45.025772027998755,faceWord_exp,5.95,image_stim_n.png,42.9997798179993,1,45.71595101699859,y,180,0.5427056030002859,5,42,22,13,neu,Monday,female,45.56847763099904,21,336,41.99999356999979,0.6901789889998327
42,51.32014331999926,-2.3709211732995845,6,0.6956737079999584,KKF,parade,55.04922159399939,faceWord_exp,6.37,image_stim_p.png,53.016709039999114,1,55.74890036499892,b,180,0.5193264629997429,6,31,21,11,pos,Monday,female,55.568548056999134,21,336,52.01581702799922,0.699678770999526
42,61.354784557999665,-1.283661754694624,6,0.6943492899990815,KKF,handshake,67.68289390599966,faceWord_exp,6.21,image_stim_p.png,63.04928804999872,1,68.38205814999856,b,336,0.5350015189997066,7,31,21,11,pos,Monday,female,68.21789542499937,21,180,62.049133847998746,0.6991642439988937
42,71.38683706999836,0.597486551423763,6,0.695613289000903,KKF,medicine,75.10841669299953,faceWord_exp,5.9,image_stim_p.png,73.0828190839984,1,75.79867062999983,b,180,0.6101700170002005,8,41,21,13,neu,Monday,female,75.71858670999973,21,336,72.08245035899927,0.6902539370003069
42,81.40245635199972,3.7741942061665816,6,0.6953268059987749,KKF,lost,87.79859468499853,faceWord_exp,2.53,image_stim_n.png,83.0989459829998,1,88.49865991899969,y,336,0.30218190900086483,9,32,22,12,neg,Monday,female,88.1007765939994,21,180,82.09778315799849,0.7000652340011584
42,91.50792499199997,-0.3659926056186196,6,0.6907754929998191,KKF,finger,97.86291865299972,faceWord_exp,5.8,image_stim_p.png,93.19876391499929,1,98.56521103799969,b,336,0.388146572999176,10,41,21,13,neu,Monday,female,98.2510652259989,21,180,92.19870048499979,0.7022923849999643
42,101.5705934639991,4.673386290788297,6,0.6943655710001622,KKF,woe,105.2911784909993,faceWord_exp,3.38,image_stim_n.png,103.26566116599861,1,105.98145328199826,y,180,0.47732305899990024,11,32,22,12,neg,Monday,female,105.7685015499992,21,336,102.26495903499926,0.6902747909989557
42,111.58578374599892,-0.4928774877246448,6,0.6958208159994683,KKF,chair,115.30872230999921,faceWord_exp,5.89,image_stim_p.png,113.28219900499971,1,116.01483283599919,b,180,0.5756714580002154,12,41,21,13,neu,Monday,female,115.88439376799943,21,336,112.28160456199839,0.7061105259999749
42,121.62091667899949,1.421533554407035,6,0.6937007300002733,KKF,judge,127.94005359699986,faceWord_exp,3.89,image_stim_n.png,123.31508030199984,1,128.64782467299847,y,336,0.3105267859991727,13,32,22,12,neg,Monday,female,128.25058038299903,21,180,122.31461740899977,0.7077710759986076
42,131.70262647899835,-2.539279812815429,6,0.695246652001515,KKF,chocolate,135.43058039599964,faceWord_exp,7.63,image_stim_p.png,133.39826287100004,1,136.13128585999948,b,180,0.3692745379994449,14,31,21,11,pos,Monday,female,135.7998549339991,21,336,132.39787313099987,0.7007054639998387
42,141.73455957399892,1.5556418242275696,6,0.6963316500005021,KKF,old,145.46542850599872,faceWord_exp,3.19,image_stim_n.png,143.4318659949986,1,146.1640350259986,y,180,0.4359092499998951,15,32,22,12,neg,Monday,female,145.9013377559986,21,336,142.43089122399942,0.6986065199998848
42,151.77111699599845,4.494524106175375,6,0.6933115600004385,KKF,funeral,155.49324396699922,faceWord_exp,2.07,image_stim_n.png,153.46483310099939,1,156.19778919700002,y,180,0.3241495649999706,16,32,22,12,neg,Monday,female,155.8173935319992,21,336,152.4644285559989,0.7045452300008037
42,161.8022112889994,0.06851316647377265,6,0.6954186809998646,KKF,analogy,165.52395725199858,faceWord_exp,5.24,image_stim_n.png,163.49795550199997,1,166.21429768599955,y,180,0.526831958000912,17,42,22,13,neu,Monday,female,166.0507892099995,21,336,162.49762996999925,0.6903404340009729
42,171.81803880400003,0.7240429444440241,6,0.6961291379993781,KKF,law,178.14081329500004,faceWord_exp,4.55,image_stim_n.png,173.51425813899914,1,178.84748767499877,y,336,0.477879939999184,18,32,22,12,neg,Monday,female,178.61869323499923,21,180,172.5141679419994,0.7066743799987307
42,181.85133158499957,-2.035068499528653,6,0.6956363909994252,KKF,dolphin,185.57748589699986,faceWord_exp,6.67,image_stim_p.png,183.5478432789987,1,186.28058479099855,b,180,0.505702004998966,19,31,21,11,pos,Monday,female,186.08318790199883,21,336,182.546967975999,0.7030988939986855
42,191.88437954299843,-1.071197614358652,6,0.6957355049999023,KKF,chipmunk,195.60729375299888,faceWord_exp,7.33,image_stim_p.png,193.5801154719993,1,196.3138953639991,b,180,0.5265930460009258,20,31,21,11,pos,Monday,female,196.1338867989998,21,336,192.58011504799833,0.7066016110002238
42,201.9181872579993,-1.1818642926883074,6,0.6951744060006604,KKF,prairie,205.64768553799877,faceWord_exp,5.33,image_stim_n.png,203.61372509600005,1,206.34705874999963,y,180,0.5693034989999433,21,42,22,13,neu,Monday,female,206.2169890369987,21,336,202.61336166399997,0.6993732120008644
42,211.95060692699917,-0.9476055713690849,6,0.696149871999296,KKF,satire,218.28021877899846,faceWord_exp,5.81,image_stim_p.png,213.64723681799842,1,218.97942910299935,b,336,0.5693462920007732,22,41,21,13,neu,Monday,female,218.84956507099923,21,180,212.64675679899847,0.6992103240008873
42,222.00216977199852,-0.7656585604551551,6,0.6947463600008632,KKF,audience,225.72361806999834,faceWord_exp,5.89,image_stim_p.png,223.69707133899828,1,226.4132460009987,b,180,0.4581987490000756,23,41,21,13,neu,Monday,female,226.1818168189984,21,336,222.6969161319994,0.6896279310003592
42,232.0232839249984,-1.1812540207039297,6,0.7068360930006747,KKF,elm,235.7587896999994,faceWord_exp,6.32,image_stim_p.png,233.73078337699917,1,236.46226487399872,b,180,0.5077356279998639,24,31,21,11,pos,Monday,female,236.26652532799926,21,336,232.73012001799907,0.7034751739993226
42,242.06725462299983,-2.2232275900644445,6,0.6959260940002423,KKF,home,245.82050573199922,faceWord_exp,7.48,image_stim_p.png,243.76350762499897,1,246.51311221299875,b,180,0.2444948239990481,25,31,21,11,pos,Monday,female,246.06500055599827,21,336,242.76318071700007,0.6926064809995296
42,252.1505468839987,-2.3202480308548075,6,0.6958680210009334,KKF,party,258.47258161099853,faceWord_exp,7.18,image_stim_p.png,253.84668815199984,1,259.17854603399974,b,336,0.4434075879999,26,31,21,11,pos,Monday,female,258.91598919899843,21,180,252.84641490499962,0.7059644230012054
42,262.18428082099854,-0.441124933220443,6,0.6952094950011087,KKF,bugle,265.9079588549994,faceWord_exp,5.05,image_stim_n.png,263.8798894899992,1,266.6128161559991,y,180,0.39051639100034663,27,42,22,13,neu,Monday,female,266.2984752459997,21,336,262.87949031599965,0.7048573009997199
42,272.21682480899835,0.8985553834191027,6,0.6957749450011761,KKF,crow,278.5465319019986,faceWord_exp,4.32,image_stim_n.png,273.91256423399864,1,279.2450953709995,y,336,0.3852580310012854,28,32,22,12,neg,Monday,female,278.9317899329999,21,180,272.91259975399953,0.6985634690008737
42,282.2533946849999,3.1728286127179004,6,0.6921258059992397,KKF,rumor,285.9722177479998,faceWord_exp,3.14,image_stim_n.png,283.94581009399917,1,286.6626383969997,y,180,0.5105087679985445,29,32,22,12,neg,Monday,female,286.48272651599837,21,336,282.9455204909991,0.6904206489998614
42,292.2666269759993,0.4070035035588155,6,0.6958501799999794,KKF,church,298.5892098589993,faceWord_exp,5.21,image_stim_n.png,293.9624488869995,1,299.29590732199904,y,336,0.4929564020003454,30,42,22,13,neu,Monday,female,299.08216626099966,21,180,292.9624771559993,0.7066974629997276
42,302.3020073109983,-1.87678309604286,6,0.6929431200005638,KKF,read,306.02969517699967,faceWord_exp,6.73,image_stim_p.png,303.9951552019993,1,306.72903283599953,b,180,0.45254078799916897,31,31,21,11,pos,Monday,female,306.48223596499884,21,336,302.99495043099887,0.6993376589998661
42,312.3328148669989,4.2219398121868315,6,0.6958774529994116,KKF,guilt,316.05655493499944,faceWord_exp,2.29,image_stim_n.png,314.0292784409994,1,316.76158847499937,y,180,0.2575032770000689,32,32,22,12,neg,Monday,female,316.3140582119995,21,336,313.0286923199983,0.7050335399999312
42,322.36696705899885,-0.15774590184623308,6,0.6947513039995101,KKF,comb,328.68807892899895,faceWord_exp,5.65,image_stim_n.png,324.0626340179988,1,329.3943998729992,y,336,0.3928976990009687,33,42,22,13,neu,Monday,female,329.0809766279999,21,180,323.06171836299836,0.7063209440002538
42,332.4019273669983,-0.30581232848456497,6,0.6930210560003616,KKF,advice,338.72860838699853,faceWord_exp,5.78,image_stim_p.png,334.09568141399905,1,339.4284888209986,b,336,0.35251577100098075,34,41,21,13,neu,Monday,female,339.0811241579995,21,180,333.09494842299864,0.6998804340000788
42,342.4318550129992,1.4290259416609457,6,0.6968321490003291,KKF,lawyer,346.15602896199925,faceWord_exp,3.94,image_stim_n.png,344.12872232799964,0,346.8448752229997,b,180,0.6084461379996355,35,32,22,12,neg,Monday,female,346.7644750999989,21,336,343.12868716199955,0.6888462610004353
42,352.44958917799886,-2.2453726125286497,6,0.6954698190002091,KKF,dinner,356.1766205269996,faceWord_exp,6.4,image_stim_p.png,354.14543592599875,1,356.87820114999886,b,180,0.5050499939989095,36,31,21,11,pos,Monday,female,356.6816705209985,21,336,353.14505899699907,0.701580622999245
42,362.4822351719995,0.07641955756997082,6,0.6959160959995643,KKF,role,366.22151877099896,faceWord_exp,5.1,image_stim_p.png,364.1949168129995,1,366.9112104119995,b,180,0.4931778700010909,37,41,21,13,neu,Monday,female,366.71469664100005,21,336,363.17815126799906,0.689691641000536
42,372.5182538779991,-0.6912617476649511,6,0.692710970999542,KKF,soccer,376.2407588819988,faceWord_exp,5.84,image_stim_p.png,374.21189952699933,1,376.9437781389988,b,180,0.4734781490005844,38,41,21,13,neu,Monday,female,376.71423703099936,21,336,373.21096484899863,0.7030192570000509
42,382.5490412629988,1.5036737146000605,6,0.695139253999514,KKF,bee,386.26832760599973,faceWord_exp,3.68,image_stim_n.png,384.24446720099877,1,386.960710076999,y,180,0.6286189359998389,39,32,22,12,neg,Monday,female,386.89694654199957,21,336,383.2441805169983,0.6923824709992914
42,392.5636237619983,-1.313583728320736,6,0.6977319840007112,KKF,girl,398.8943011909996,faceWord_exp,7.15,image_stim_p.png,394.26148065099915,1,399.5944521849997,b,336,0.48650083699976676,40,31,21,11,pos,Monday,female,399.3808020279994,21,180,393.261355745999,0.7001509940000687
42,402.59884052099915,-1.4048581699918157,6,0.6953431620004267,KKF,blueberry,406.3207216109986,faceWord_exp,7.11,image_stim_p.png,404.2949522609997,1,407.01068115899943,b,180,0.5256125910000264,41,31,21,11,pos,Monday,female,406.8463342019986,21,336,403.2941836829996,0.6899595480008429
42,412.6172400859996,-0.1985745460766808,6,0.6935584759994526,KKF,quantity,416.34410816799937,faceWord_exp,5.33,image_stim_n.png,414.3114346379989,1,417.0442906339995,y,180,0.603122649999932,42,42,22,13,neu,Monday,female,416.9472308179993,21,336,413.31079856199904,0.7001824660001148
42,422.66459221199875,0.6345811289687322,6,0.6962651670000923,KKF,big,426.3875083169987,faceWord_exp,5.64,image_stim_n.png,424.3613098429996,1,427.0773400479993,y,180,0.6092300300006173,43,42,22,13,neu,Monday,female,426.99673834699934,21,336,423.36085737899884,0.689831731000595
42,432.68163743499827,0.3271241198863318,6,0.6957684820008581,KKF,mayor,439.0015070539994,faceWord_exp,4.59,image_stim_n.png,434.37759795999955,1,439.69393062999916,y,336,0.5440597609995166,44,32,22,12,neg,Monday,female,439.5455668149989,21,180,433.3774059169991,0.6924235759997828
42,442.70058512499963,0.1576901893660491,6,0.6922971029998735,KKF,table,449.0248762709998,faceWord_exp,5.49,image_stim_p.png,444.3942566759997,1,449.7278411749994,b,336,0.5393396339986793,45,41,21,13,neu,Monday,female,449.5642159049985,21,180,443.3928822279995,0.7029649039996002
42,452.73153247999835,-1.613773182399739,6,0.6952403110008163,KKF,hygiene,456.4536894739995,faceWord_exp,6.38,image_stim_p.png,454.42674296399855,1,457.1424292719985,b,180,0.39318549699964933,46,31,21,11,pos,Monday,female,456.8468749709991,21,336,453.42677279099917,0.6887397979990055
42,462.7479951459991,-1.5755240884938977,6,0.6945976839997456,KKF,cheese,466.4699671919989,faceWord_exp,6.81,image_stim_p.png,464.44337048799935,1,467.15926830899843,b,180,0.32695747800062236,47,31,21,11,pos,Monday,female,466.7969246699995,21,336,463.44259282999883,0.6893011169995589
42,472.7637797439984,3.1738538072533196,6,0.6963471980016038,KKF,sin,479.0865626629984,faceWord_exp,3.08,image_stim_n.png,474.46073731199976,1,479.7930950969985,y,336,0.3763359600015974,48,32,22,12,neg,Monday,female,479.462898623,21,180,473.460126942,0.7065324340001098
42,482.7978745119999,1.7380634654586231,6,0.6953499449991796,KKF,politician,489.11963083499904,faceWord_exp,3.25,image_stim_n.png,484.49385429799986,1,489.82647280499987,y,336,0.3757513870004914,49,32,22,12,neg,Monday,female,489.49538222199953,21,180,483.4932244569991,0.7068419700008235
42,492.8305693329985,-1.8284590275958619,6,0.6949456380007177,KKF,river,496.5528218579984,faceWord_exp,6.72,image_stim_p.png,494.5267706329996,1,497.24306035099835,b,180,0.6767758040004992,50,31,21,11,pos,Monday,female,497.2295976619989,21,336,493.5255149709992,0.6902384929999243
42,502.84695993199966,2.6698720582687456,6,0.6956002949991671,KKF,fee,509.1675570459993,faceWord_exp,2.86,image_stim_n.png,504.54352870899856,1,509.85971641499964,y,336,0.39459673300007125,51,32,22,12,neg,Monday,female,509.56215377899935,21,180,503.54256022699883,0.6921593690003647
42,512.8661201719988,0.38949539348709145,6,0.6935804320000898,KKF,era,519.1886981629996,faceWord_exp,5.29,image_stim_p.png,514.5599413139989,1,519.8928922399991,b,336,0.42267261800043343,52,41,21,13,neu,Monday,female,519.611370781,21,180,513.5597006039989,0.7041940769995563
42,522.8974910859997,-3.0889019952949432,6,0.6952285850002227,KKF,honeymoon,526.6194369629993,faceWord_exp,7.53,image_stim_p.png,524.5928819439996,1,527.3094606639988,b,180,0.27534500199908507,53,31,21,11,pos,Monday,female,526.8947819649984,21,336,523.5927196709999,0.690023700999518
42,532.9130099869999,0.5993691927879942,6,0.696198067998921,KKF,rake,539.2358589999985,faceWord_exp,4.75,image_stim_n.png,534.6097959919989,1,539.9424942149999,y,336,0.5596548360008455,54,32,22,12,neg,Monday,female,539.7955138359994,21,180,533.6092080549988,0.7066352150013699
42,542.9451967149998,1.346131993343653,6,0.6971457879990339,KKF,protest,549.2687050859986,faceWord_exp,4.42,image_stim_n.png,544.6429476619996,1,549.9753569559998,y,336,0.3765562640001008,55,32,22,12,neg,Monday,female,549.6452613499987,21,180,543.6423425029989,0.7066518700012239
42,552.980473906,-0.8574934623041074,6,0.6952061839983799,KKF,accordion,559.3021449379994,faceWord_exp,5.26,image_stim_n.png,554.6762042749997,1,560.0095011309986,y,336,0.5586167010005738,56,42,22,13,neu,Monday,female,559.860761639,21,180,553.6756800899984,0.7073561929992138
42,563.0132897969997,-1.6320665929887423,6,0.6956672219985194,KKF,forest,566.734655025999,faceWord_exp,6.68,image_stim_p.png,564.7093963079988,1,567.4254575399991,b,180,0.32667189200037683,57,31,21,11,pos,Monday,female,567.0613269179994,21,336,563.7089570189983,0.6908025140000973
42,573.0301336919983,3.2726955917764444,6,0.6953751030014246,KKF,gunshot,579.3518335969984,faceWord_exp,2.79,image_stim_n.png,574.7253691999995,1,580.058696484999,y,336,0.3099977400015632,58,32,22,12,neg,Monday,female,579.661831337,21,180,573.7255087949998,0.7068628880006145
42,583.0730392819987,-0.9209473384247756,6,0.7023305710008572,KKF,scooter,586.8052852429992,faceWord_exp,5.42,image_stim_n.png,584.7757024249986,1,587.5086597539994,y,180,0.6570064080005977,59,42,22,13,neu,Monday,female,587.4622916509998,21,336,583.7753698529996,0.7033745110002201
42,593.1131736109983,-1.0219663684796234,6,0.6950050930008729,KKF,camera,599.4351784899991,faceWord_exp,6.61,image_stim_p.png,594.8087489999998,1,600.1421165299998,b,336,0.5081264990003547,60,31,21,11,pos,Monday,female,599.9433049889994,21,180,593.8081787039991,0.7069380400007503
